"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2013",15,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2014",15,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2015",14,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2016",13,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2017",15,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2018",17,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2019",18,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2020",21,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2021",4,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2022",18,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2001",0,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2002",1,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2003",2,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2004",1,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2005",2,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2006",3,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2007",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2008",6,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2009",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2010",4,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2011",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2012",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2013",4,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2014",4,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2015",4,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2016",4,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2017",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2018",5,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",6,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",7,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",4,
"AUS","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",8,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2001",6,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2002",8,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2003",9,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2004",11,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2005",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2006",14,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2007",14,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2008",14,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2009",14,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2010",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2011",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2012",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2013",12,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2014",12,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2015",12,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2016",12,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2017",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2018",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",13,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",6,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",14,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2001",0,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2002",0,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2003",1,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2004",0,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2005",4,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2006",9,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2007",10,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_AVEWAGE","A","2008",13,
